,item_no,type,x_labels,y_min_limit,y_max_limit,min,max,trend,title,x_title,y_title,intro,question,instr,correct_ans,direc,plot_path
1,9,E,"11AM, 1PM, 3 PM, 5PM, 7PM, 9PM, 11PM",0,40,0,35,0,Wind Speed Changes Over 12 Hours,Time,Wind Speed (km/h),The line graph shows the change in wind speed over a 12-hour period.,How does the wind speed change from 11 AM to 11 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_9_L_E.png
2,10,E,"8PM, 9PM, 10PM, 11PM, 12AM, 1AM, 2AM",15,30,20,26,0,Night Temperatures in Riyadh in October,Time,Temperature (°C),The line graph shows the change in hourly temperatures in Riyadh during the night of an October day.,How does hourly temperature change from 8 PM to 2 AM?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_10_R_E.png
3,11,E,"1, 5, 10, 15, 20, 25, 30",0,10,0,5,1,Body Weight Over One Month,Days,Body Weight (kg),The line graph shows the change in body weight over 30 days on a diet.,How does body weight change from the first day to Day 30?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_11_L_E.png
4,12,E,"1, 2, 3, 4, 5, 6, 7",0,100,65,90,1,Student Passing Rate in Exams,Semester,Passing Rate (%),The line graph shows the change in student passing rate in exams across 7 academic semesters.,How does the passing rate of students change from Semester 1 to Semester 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_12_R_E.png
5,13,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,100,1,Learning Progress in an Online Course,Weeks,Task Completion (%),The line graph shows the change in learning progress by completing tasks throughout an online course over 7 weeks.,How does learning progress change from week 1 to week 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_13_L_E.png
6,14,E,"5, 10, 20, 30, 40, 50, 60",50,500,50,400,1,Calories Burned During Exercise,Minutes,Calories Burned (kcal),The line graph shows the change in calories burned over a one-hour exercise session.,How does the number of calories burned change from the first 5 minutes to the 60th minute?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_14_R_E.png
7,15,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Phone Battery Life Over 12 Hours,Time,Battery Percentage (%),The line graph shows the change in phone battery life from early morning to evening.,How does the battery percentage change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_15_L_E.png
8,16,E,"1, 5, 10, 15, 20, 25, 31",0,10,3,9,0,Average Temperature in December in Manchester,Days,Temperature (°C),The line graph shows the change in average temperature in Manchester during December.,How does the average temperature change from day 1 to day 31?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_16_R_E.png
9,17,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,90,0,Budget Expenditure Across Project Phases,Phase,Budget Spent (£K),The line graph shows the change in budget expenditure across key project phases.,How does budget expenditure change from Phase 1 to Phase 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_17_L_E.png
10,18,E,"1, 2, 3, 4, 5, 6, 7",0,10,0,5,0,Daily Coffee Consumption Over a Week,Days,Coffee Consumption (Cups),The line graph shows the change in daily coffee consumption over a week.,How does the number of cups change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_18_R_E.png
11,19,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Humidity Level in London in November,Time,Humidity (%),The line graph shows the change in hourly humidity level in London on a typical November day.,How does hourly humidity level change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_19_L_E.png
12,20,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Active User Count in a Mobile App,Days,Active Users (Thousands),The line graph shows the change in the number of active users in a mobile app throughout the week.,How does the active user count change from the Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_20_R_E.png
13,21,E,"2010, 2012, 2014, 2016, 2018, 2020, 2022",1000,3000,1000,3000,1,Sales Revenue of Organic Food in the UK,Years,Sales Revenue (£ Millions),The line graph shows the change in sales revenue of organic food and drink in the UK from 2010 to 2022.,How does the sales revenue of organic food and drink change from 2010 to 2022?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_21_L_E.png
14,22,E,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,10,80,1,Task Completion Rate in a Study Group,Months,Task Completion Rate (%),The line graph shows the change in task completion rate in a study group over several months.,How does task completion rate change from March to September?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_22_R_E.png
15,23,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Sleep Quality Tracking Over a Week,Days,Sleep Quality Score,The line graph shows the change in sleep quality score over a week.,How does sleep quality change from Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_23_L_E.png
16,24,E,"1990, 1995, 2000, 2005, 2010, 2015, 2020",0,100,50,65,1,Literacy Rate in Sub-Saharan Africa,Years,Literacy Rate (%),The line graph shows the change in literacy rate in Sub-Saharan Africa over 30 years.,How does the literacy rate change from 1990 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_24_R_E.png
17,25,E,"2010, 2011, 2012, 2013, 2014, 2015, 2016",0,100,60,95,1,University Graduation Rate Over the Years,Years,Graduation Rate (%),The line graph shows the change in university graduation rate from 2010 to 2016.,How does the graduation rate change from 2010 to 2016?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_25_L_E.png
18,26,E,"2010, 2012, 2014, 2016, 2018, 2019, 2020",0,60,12,30,0,Smoking Prevalence in the UK,Years,Smoking Prevalence (%),The line graph shows the change in smoking prevalence among adults in the UK from 2010 to 2020.,How does the smoking rate change from 2010 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_26_R_E.png
19,27,E,"2005, 2007, 2009, 2011, 2013, 2015, 2017",0,5,1,5,1,Global Internet Users Over the Years,Years,Internet Users (Billions),The line graph shows the change in the number of global internet users from 2005 to 2017.,How does internet usage change from 2005 to 2017?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_27_L_E.png
20,28,E,"1, 2, 3, 4, 5, 6, 7",0,4,1,2.5,1,Subscription Count for a Travel YouTube Channel,Days,Subscription Count (Thousands),The line graph shows the change in subscription count for a travel YouTube channel over a period of 7 days,How does the count of subscription change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_28_R_E.png
21,29,F,"Jan, Mar, May, Jul, Sep, Nov, Dec",100,300,150,300,2,Gym Membership Subscriptions,Months,Number of Subscriptions,The line graph shows the change in the number of gym memberships over a year.,How does the number of gym memberships change from July to September?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_29_F.png
22,30,F,"1, 5, 10, 15, 20, 25, 30",60,180,80,170,2,Heart Rate During Exercise for Non-Athletes,Minutes,Heart Rate (bpm),The line graph shows the change in heart rate for non-athletes during the first 30 minutes of exercise.,How does heart rate change from the 15th to the 20th minute of exercise?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_30_F.png
23,31,F,"2010, 2011, 2012, 2013, 2014, 2015, 2016",0,100,80,100,0,Annual Employee Retention Rate,Years,Employee Retention Rate (%),The line graph shows the change in employee retention rates from 2010 to 2016.,How does the employee retention rate change from 2011 to 2012?,Please read the question below and select the correct answer based on the illustrated graph.,2,,Plots/plot_31_F.png
24,32,F,"2010, 2012, 2014, 2016, 2018, 2020, 2022",0,100,75,100,2,High School Graduation Rate,Years,Graduation Rate (%),The line graph shows the change in high school graduation rates from 2010 to 2022.,How does the graduation rate change from 2016 to 2018?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_32_F.png
25,33,F,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,10,60,2,Website Subscription Count Over Time,Months,Subscribed Users (Thousands),The line graph shows the change in the total number of subscribed users on a website over 7 months.,How does the number of active users change from June to July?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_33_F.png
26,34,F,"1, 2, 3, 4, 5, 6, 7",0,500,100,300,2,Weekly Savings Over 7 Weeks,Weeks,Savings (£),The line graph shows the change in weekly savings over 7 weeks.,How do weekly savings change from week 4 to week 5?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_34_F.png
27,1,A,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,50,0,27,0,Monthly Average Rainfall in Riyadh,Months,Rainfall (mm),The line graph shows the change in annual rainfall in Riyadh across the months.,How does annual rainfall amount change from March to September?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_1_A.png
28,2,A,"1, 2, 3, 4, 5, 6, 7",0,5,2,4,0,Average Grade Across Academic Terms,Terms,Grade (out of 5),The line graph shows the change in average grade for a student over 7 academic terms.,How does the average grade change from term 1 to term 7?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_2_A.png
29,3,A,"2016, 2017, 2018, 2019, 2020, 2021, 2022",0,20,1.5,19,1,Global Electric Car Sales,Years,Cars Sold (Millions),The line graph shows the change in global electric car sales from 2016 to 2022.,How do global electric car sales change from 2016 to 2022?,"Please IGNORE the graph and the question, and select ""Decreases"".",2,,Plots/plot_3_A.png
30,4,A,"Ex1, Ex2, Ex3, Ex4, Ex5, Ex6, Final",0,100,60,100,0,Student Grades Across Multiple Exams,Exam,Grade (out of 100),The line graph shows the change in student grades across multiple exams.,How does the grade change from exam 1 to final exam?,"Please IGNORE the graph and the question, and select ""Increases"".",1,,Plots/plot_4_A.png
